,Squad,pts,G.,N.,P.,p.,c.,+/-,Championnat,ATT,MIL,DEF,AVG,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Milan,86,26,8,4,69,31,38,ITA,81.0,80.0,80.0,80.33333333333333,28,38.0,76,3,1,465,513,80,672,355,421,5,5,2,2167,521,517,50.2
1,Inter,84,25,9,4,84,32,52,ITA,82.0,82.0,83.0,82.33333333333333,27,38.0,71,0,0,466,412,57,809,332,332,7,4,1,2004,549,476,53.6
2,Napoli,79,24,7,7,74,31,43,ITA,82.0,80.0,77.0,79.66666666666667,27,38.0,63,2,0,460,482,67,553,296,327,9,1,1,1981,393,403,49.4
3,Juventus,70,20,10,8,57,37,20,ITA,81.0,81.0,82.0,81.33333333333333,32,38.0,77,2,1,508,503,74,550,332,316,5,7,1,2008,550,440,55.6
4,Lazio,64,18,10,10,77,58,19,ITA,79.0,81.0,78.0,79.33333333333333,27,38.0,88,5,3,441,450,44,574,315,339,6,6,1,1941,411,427,49.0
5,Roma,63,18,9,11,59,43,16,ITA,79.0,79.0,78.0,78.66666666666667,29,38.0,111,8,6,500,474,60,735,385,362,5,6,2,1980,524,441,54.3
6,Fiorentina,62,19,5,14,59,51,8,ITA,76.0,77.0,77.0,76.66666666666667,28,38.0,89,8,6,464,565,57,776,244,301,8,5,2,1885,469,456,50.7
7,Atalanta,59,16,11,11,65,48,17,ITA,82.0,79.0,79.0,80.0,32,38.0,87,2,1,513,454,68,661,441,341,3,6,3,2292,685,518,56.9
8,Hellas Verona,53,14,11,13,65,59,6,ITA,76.0,75.0,74.0,75.0,31,38.0,100,7,5,560,429,97,593,392,308,6,4,2,2413,689,733,48.5
9,Torino,50,13,11,14,46,41,5,ITA,76.0,75.0,76.0,75.66666666666667,31,38.0,89,3,2,636,460,84,663,423,314,4,11,0,2113,781,891,46.7
10,Sassuolo,50,13,11,14,64,66,-2,ITA,77.0,75.0,71.0,74.33333333333333,29,38.0,92,4,2,461,479,43,541,314,271,6,9,1,1926,343,404,45.9
11,Udinese,47,11,14,13,61,58,3,ITA,75.0,73.0,74.0,74.0,29,38.0,95,6,3,564,461,78,519,351,350,4,7,1,2027,453,534,45.9
12,Bologna,46,12,10,16,44,55,-11,ITA,78.0,75.0,73.0,75.33333333333333,36,38.0,92,7,4,443,497,56,601,371,298,3,9,2,1972,492,520,48.6
13,Empoli,41,10,11,17,50,70,-20,ITA,73.0,71.0,71.0,71.66666666666667,28,38.0,87,5,3,506,463,83,704,352,327,6,10,6,1998,427,549,43.8
14,Sampdoria,36,10,6,22,46,63,-17,ITA,77.0,75.0,73.0,75.0,34,38.0,94,4,1,495,513,82,645,442,327,3,4,2,2044,609,506,54.6
15,Spezia,36,10,6,22,41,71,-30,ITA,71.0,70.0,71.0,70.66666666666667,30,38.0,88,4,1,508,439,77,534,372,343,4,13,3,1994,530,589,47.4
16,Salernitana,31,7,10,21,33,78,-45,ITA,71.0,71.0,68.0,70.0,42,38.0,94,5,3,494,522,41,698,353,321,4,8,2,1849,657,506,56.5
17,Cagliari,30,6,12,20,34,68,-34,ITA,75.0,72.0,69.0,72.0,33,38.0,96,5,3,549,490,70,675,397,303,3,10,1,1995,696,742,48.4
18,Genoa,28,4,16,18,27,60,-33,ITA,72.0,72.0,71.0,71.66666666666667,40,38.0,92,3,2,566,499,72,661,449,416,4,5,2,2228,635,743,46.1
19,Venezia,27,6,9,23,34,69,-35,ITA,73.0,72.0,72.0,72.33333333333333,39,38.0,110,9,2,522,457,61,585,388,352,5,12,2,1942,564,583,49.2
20,Manchester City,93,29,6,3,99,26,73,ANG,84.0,87.0,86.0,85.66666666666667,26,38.0,42,1,0,321,330,66,869,279,284,7,1,0,1967,482,397,54.8
21,Liverpool,92,28,8,2,94,26,68,ANG,86.0,84.0,85.0,85.0,27,38.0,50,1,0,363,286,63,897,340,320,5,0,1,2265,571,467,55.0
